review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",1,"HA06","habit_automaticity","deliberate_choice",4,4,4,3,4,4,4,4,"moderate","low","low","moderate","low","moderate","moderate","none","retain","Deliberate choice is an observable opposite of automatic initiation but also reflects intentional control.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",2,"EE02","emotional_eating","sadness",3,4,3,3,3,3,4,3,"moderate","low","moderate","moderate","moderate","none","moderate","none","minor_rewrite","Expected relief is an appraisal rather than a clear eating desire or behavior.","Сэтгэл гунигтай үедээ тайвшрахын тулд хоол идэх хүсэл төрсөн.","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",3,"IM06","implementation_maintenance_friction","repeatability",3,3,2,3,4,3,3,4,"moderate","low","low","moderate","low","none","moderate","none","minor_rewrite","The unspecified thing can include many actions unrelated to the intended plan.","Төлөвлөсөн зүйлээ нэг өдөр хийсэн ч дараагийн өдрүүдэд давтаж хийхэд хэцүү байсан.","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",4,"BI02","body_image_avoidance","mirror",4,4,4,4,4,4,4,3,"low","low","low","moderate","moderate","none","low","none","retain","Body discomfort is directly linked to a specific avoidance behavior.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",5,"IM02","implementation_maintenance_friction","setup_burden",4,4,4,3,4,4,4,4,"moderate","low","low","low","low","none","moderate","none","retain","Preparation burden precedes delay although resource constraints could produce the same behavior.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",6,"EC06","external_cue_reactivity","disengagement",4,4,4,3,4,4,4,4,"high","low","low","moderate","low","moderate","high","none","hold","Redirecting attention measures regulatory capacity as well as reduced cue reactivity.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",7,"EC04","external_cue_reactivity","digital_cue",4,4,4,3,4,4,4,4,"moderate","moderate","low","low","low","none","moderate","none","retain","Digital exposure precedes persistent food thoughts but combines app and advertising cues.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",8,"IM01","implementation_maintenance_friction","action_clarity",4,4,4,4,4,4,4,4,"low","low","low","low","low","none","low","none","retain","Unclear what-and-when information is directly linked to not initiating the plan.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",9,"SE01","eating_self_efficacy","stress",4,4,4,4,4,4,4,4,"moderate","low","low","moderate","low","none","moderate","none","retain","The item asks confidence for implementing a chosen eating intention under stress.","","true"
"ER-R3-C","R3","behavioral_science","boundary-stress-v2","GPT-5.6","gpt-5.6-sol",10,"SE02","eating_self_efficacy","time_pressure",4,4,4,4,4,4,4,4,"moderate","low","low","moderate","low","none","moderate","none","retain","Confidence is anchored to making a feasible eating choice under time pressure.","","true"
