review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,1,HS05,hunger_satiety_awareness,satiety_clarity,4,4,3,4,4,4,4,4,low,none,none,low,low,none,low,none,minor_rewrite,Observable: the phrase for uncertainty about fullness is understandable but does not state when the uncertainty occurred.,Цадсан эсэхээ мэдэхдээ эргэлзэж байсан.,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,2,EE05,emotional_eating,frustration,4,4,3,3,3,4,4,3,moderate,none,low,moderate,moderate,none,moderate,none,minor_rewrite,Observable: хоол руу хандсан can mean thinking about food or eating and the after wording can be read as timing rather than the emotional context.,Уурласан эсвэл бухимдсан үедээ юм идсэн.,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,3,IM03,implementation_maintenance_friction,minimum_version,4,4,3,3,4,4,4,4,low,none,low,moderate,none,moderate,low,none,minor_rewrite,Observable: хамгийн жижиг хувилбар and the action it refers to are not specified in the item.,Завгүй өдөр төлөвлөсөн зүйлээ хийх хамгийн жижиг хувилбар надад бэлэн байсан.,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,4,UC02,uncontrolled_eating,intended_amount,4,4,4,3,4,4,4,3,moderate,none,none,moderate,moderate,none,moderate,none,retain,Observable: the item compares the amount eaten with an intended amount but may also reflect a planned change rather than difficulty with control.,,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,5,BI02,body_image_avoidance,mirror,4,4,4,4,4,4,4,3,low,none,none,moderate,moderate,none,low,none,retain,Observable: discomfort about appearance and avoiding a mirror are directly linked in one observable situation.,,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,6,HA06,habit_automaticity,deliberate_choice,4,4,3,3,4,4,4,4,low,none,low,moderate,none,high,low,none,minor_rewrite,Observable: давтагддаг нөхцөл is broad and the positively phrased deliberate-choice statement reverses the habitual direction.,Давтагддаг нөхцөлд идэхээсээ өмнө сонголтоо зориуд бодож хийсэн.,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,7,HA05,habit_automaticity,low_deliberation,4,4,4,3,4,4,4,4,moderate,none,none,low,low,none,moderate,none,minor_rewrite,Observable: үнэхээр хүсэж байгаа эсэх can invite a hunger or desire judgment in addition to low deliberation.,Зууш авахдаа сонголтоо бодолгүй хийсэн.,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,8,RR02,restrictive_rebound,prohibition,4,4,4,4,4,4,4,3,low,none,none,moderate,moderate,none,low,none,retain,Observable: the item plainly asks about setting a complete food prohibition rule.,,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,9,SE06,eating_self_efficacy,fatigue,4,4,3,4,4,3,4,4,low,none,none,low,low,none,low,none,minor_rewrite,Observable: the confidence target is clear but хамгийн жижиг хувилбар has no item-specific meaning and confidence can vary across the 14-day window.,Ядарсан үедээ ч өөрт тохирох хамгийн жижиг алхмыг хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,10,SE01,eating_self_efficacy,stress,4,4,3,4,4,3,4,4,low,none,none,low,low,none,low,none,minor_rewrite,Observable: уян хатан хоолны төлөвлөгөө may not have the same everyday meaning for all respondents and retrospective confidence can vary across days.,Стресстэй өдөр өөрийн сонгосон хоолны төлөвлөгөөгөө уян хатан хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,true
