review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,1,EE05,emotional_eating,frustration,4,4,4,3,4,4,4,3,moderate,low,none,moderate,low,none,moderate,none,retain,"The phrase can describe eating after anger but does not distinguish hunger or routine eating.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,2,RR01,restrictive_rebound,rigid_rules,4,4,4,3,4,4,4,2,moderate,low,moderate,high,moderate,none,moderate,none,minor_rewrite,"The collapse metaphor may intensify all-or-nothing judgment and overlaps with perceived failure.","Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөөгөө үргэлжлүүлэхэд хэцүү санагдсан.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,3,EC02,external_cue_reactivity,smell_cue,4,4,4,3,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,"Smell is a clear cue, though the decision to eat can also reflect physical hunger.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,4,EE06,emotional_eating,affect_tolerance,3,4,3,2,4,4,4,3,high,low,none,high,moderate,high,high,none,major_rewrite,"Not eating during an unpleasant feeling may reflect hunger, medical needs, or restraint rather than affect tolerance.","Таагүй мэдрэмж төрөхөд хоол идэхээс өөр аргаар даван туулж чадсан.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,5,HS01,hunger_satiety_awareness,early_hunger,4,4,4,3,4,4,4,4,moderate,low,none,low,none,high,moderate,none,retain,"It directly asks about noticing an early bodily hunger signal, although signals may vary with health context.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,6,IM01,implementation_maintenance_friction,action_clarity,4,4,4,3,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,"The item identifies unclear timing as the stated barrier to starting a plan.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,7,EE02,emotional_eating,sadness,4,4,4,3,4,4,4,3,moderate,low,none,moderate,low,none,moderate,none,retain,"It links sadness with a perceived soothing effect of eating, while not establishing whether eating occurred.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,8,HS04,hunger_satiety_awareness,comfortable_fullness,4,4,4,3,4,4,4,4,low,low,none,low,none,high,low,none,retain,"The wording focuses on recognizing comfortable fullness during eating.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,9,EC04,external_cue_reactivity,digital_cue,4,4,4,3,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,"Digital food content is explicit, although recurring thoughts may also arise from hunger or dietary restriction.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,10,SE01,eating_self_efficacy,stress,4,4,3,3,4,3,4,3,moderate,low,none,moderate,low,none,moderate,none,minor_rewrite,"The confidence question is clear, but a 14-day recall frame is less direct for confidence than for behavior.","Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг хэрэгжүүлэхдээ хэр итгэлтэй байдаг вэ?",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,11,SE02,eating_self_efficacy,time_pressure,4,4,4,3,4,3,4,4,moderate,low,none,low,none,none,moderate,none,minor_rewrite,"Time pressure is a concrete situation, though confidence is not naturally tied to counting past 14 days.","Зав багатай үед өөрт тохирох боломжит хоолны сонголт хийхдээ хэр итгэлтэй байдаг вэ?",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,12,IM04,implementation_maintenance_friction,disruption,4,4,4,3,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,"Schedule disruption is a clear implementation barrier, but can also reflect work or caregiving constraints.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,13,EC06,external_cue_reactivity,disengagement,4,4,4,3,4,4,4,4,moderate,moderate,none,moderate,none,high,moderate,none,retain,"It assesses redirecting attention after a cue; the two cue forms are alternatives rather than two required events.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,14,RR06,restrictive_rebound,flexible_return,4,4,4,3,4,4,4,3,moderate,moderate,none,moderate,moderate,high,moderate,none,minor_rewrite,"Returning to normal rhythm is understandable but may imply one normative eating pattern.","Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо өөрийн хэвийн хэмнэлдээ эргэн орсон.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,15,SE05,eating_self_efficacy,recovery,4,4,4,3,4,3,4,3,moderate,low,none,moderate,moderate,none,moderate,none,minor_rewrite,"It captures confidence to resume, but the phrase about deviation may invite self-judgment and the recall frame is awkward.","Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээрээ эргэн үргэлжлүүлэхдээ хэр итгэлтэй байдаг вэ?",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,16,AC01,response_quality,instructional_check,4,4,4,4,4,4,4,4,none,none,moderate,none,none,none,none,none,retain,"The explicit instruction and named response category are observable and unambiguous.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,17,UC03,uncontrolled_eating,momentum,4,4,4,3,4,4,4,3,moderate,low,none,moderate,moderate,none,high,none,minor_rewrite,"Continuing after fullness can reflect social context, portion norms, or a deliberate choice as well as loss of control.","Цадсанаа анзаарсан ч зогсооход хэцүү санагдсан.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,18,HS03,hunger_satiety_awareness,late_hunger,4,4,4,3,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,"The item specifies delayed awareness of hunger, though fatigue can have causes unrelated to hunger.",,true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,19,EE03,emotional_eating,boredom,4,4,4,3,4,4,4,3,moderate,moderate,none,moderate,low,none,high,none,minor_rewrite,"The contrast with looking for something to do makes boredom eating clear but joins an alternative behavior in the stem.","Уйдсан үедээ юм идэж эхэлсэн.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,20,UC05,uncontrolled_eating,unplanned_continuation,4,4,4,3,4,4,4,3,moderate,low,none,moderate,moderate,none,high,none,minor_rewrite,"Eating beyond an intended amount can occur for reasons other than an uncontrolled experience.","Багахан иднэ гэж эхэлсэн ч зогсооход хэцүү санагдсан.",true
ER-R4-C,R4,dietitian_weight_management,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,21,RR02,restrictive_rebound,prohibition,4,4,4,4,4,4,4,3,moderate,low,none,moderate,moderate,none,moderate,none,retain,"A complete food prohibition is directly observable, while it may sometimes be medically indicated.",,true
