adjudication_id,blinded_item_id,revised_item_key,source_item_key,construct,expert_pass_count,expert_revise_count,expert_hold_count,persona_exposure_count,persona_correct_paraphrase_count,persona_misinterpretation_count,response_scale_mismatch_count,recall_problem_count,judgment_flag_count,social_desirability_flag_count,expert_moderate_high_overlap_count,construct_preserved,no_major_safety_concern,no_systematic_misinterpretation,scale_usable,recall_usable,shame_not_increased,overlap_not_increased,second_pass_gate,adjudication_rationale,remaining_issue,synthetic_review_only,status_label
SP-ADJ-S,B002,EE02-V21,EE02,emotional_eating,13,3,0,4,4,0,0,0,0,1,8,true,true,true,true,true,true,true,pass,All four paraphrases retained sadness-linked eating and temporary relief; scale and recall fit all four personas; overlap fell from 23/24 to 8/16.,Moderate shame risk appeared in 10/16 expert runs.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B014,EE05-V21,EE05,emotional_eating,14,2,0,4,4,0,0,0,0,3,7,true,true,true,true,true,true,true,pass,All four paraphrases retained eating after anger or frustration; scale and recall fit all four personas; overlap fell from 20/24 to 7/16.,Moderate shame risk appeared in 10/16 expert runs and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B007,EE06-V21-A,EE06,emotional_eating,10,6,0,4,4,0,0,0,0,3,15,true,true,true,true,true,true,true,pass,All four paraphrases retained non-eating self-soothing during unpleasant affect and all persona scale and recall judgments were usable.,Overlap remained 15/16 and the alternative coping method stayed broad.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B003,EE06-V21-B,EE06,emotional_eating,8,8,0,4,4,0,0,0,0,4,15,true,true,true,true,true,true,true,pass,All four paraphrases retained temporary affect tolerance instead of eating and all persona scale and recall judgments were usable.,Overlap remained 15/16 and all four personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B027,EC02-V21,EC02,external_cue_reactivity,15,1,0,4,4,0,0,0,0,1,7,true,true,true,true,true,true,true,pass,All four paraphrases retained a smell-triggered eating decision; scale and recall fit all four personas; overlap fell from 15/24 to 7/16.,One persona saw an obvious desirable answer and the causal phrase remains broad.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B036,EC04-V21,EC04,external_cue_reactivity,13,3,0,4,4,0,0,0,0,0,7,true,true,true,true,true,true,true,pass,All four paraphrases retained continued food thoughts after advertising and all persona scale and recall judgments were usable.,The duration of continued thought and the boundary of advertising remain unspecified.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B005,EC06-V21,EC06,external_cue_reactivity,15,1,0,4,4,0,0,0,0,3,10,true,true,true,true,true,true,true,pass,All four paraphrases retained redirecting attention after seeing food and all persona scale and recall judgments were usable.,Overlap remained 10/16 and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B018,UC02-V21,UC02,uncontrolled_eating,15,1,0,4,4,0,0,0,0,1,5,true,true,true,true,true,true,true,pass,All four paraphrases retained eating more than initially intended and all persona scale and recall judgments were usable.,Moderate shame risk appeared in 12/16 expert runs.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B028,UC04-V21,UC04,uncontrolled_eating,14,2,0,4,4,0,0,0,0,2,7,true,true,true,true,true,true,true,pass,All four paraphrases retained difficulty controlling whether to stop or continue and all persona scale and recall judgments were usable.,Moderate shame risk appeared in 12/16 expert runs and control remains somewhat broad.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B004,UC06-V21,UC06,uncontrolled_eating,15,1,0,4,4,0,0,0,0,3,9,true,true,true,true,true,true,true,pass,All four paraphrases retained pausing to consider whether to continue and all persona scale and recall judgments were usable.,Overlap remained 9/16 and pausing is still linked to deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B011,RR01-V21,RR01,restrictive_rebound,12,4,0,4,4,0,0,0,2,1,4,true,false,true,true,true,false,true,hold,Two personas flagged judgment and 6/16 expert runs rated shame risk high with one safety rating below 3.,The total-failure wording remains a recurring major judgment concern.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B017,RR03-V21,RR03,restrictive_rebound,12,4,0,4,4,0,0,0,4,3,4,true,false,true,true,true,false,true,hold,All four personas flagged judgment and 6/16 expert runs rated shame risk high with one safety rating below 3.,The failure label remains a recurring major shame and judgment concern.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B012,RR04-V21-A,RR04,restrictive_rebound,15,1,0,4,4,0,0,0,0,2,7,true,true,true,true,true,true,true,pass,All four paraphrases retained abandoning the rest-of-day plan after a deviation; no persona flagged judgment; overlap fell from 22/24 to 7/16.,All 16 expert runs retained moderate shame risk and the plan may not apply to every respondent.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B024,RR04-V21-B,RR04,restrictive_rebound,10,6,0,4,4,0,0,0,0,1,9,true,true,true,true,true,true,true,pass,All four paraphrases retained not resuming the plan at the next meal; no persona flagged judgment; overlap fell from 22/24 to 9/16.,All 16 expert runs retained moderate shame risk and the plan may not apply to every respondent.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B008,RR06-V21,RR06,restrictive_rebound,10,6,0,4,4,0,1,1,0,3,9,true,true,true,true,true,true,true,pass,All four paraphrases retained returning to usual eating at the next meal and 3/4 personas found both scale and recall usable.,One persona reported both a scale and recall problem and normal eating remains undefined.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B031,HS01-V21,HS01,hunger_satiety_awareness,16,0,0,4,4,0,0,0,0,3,1,true,true,true,true,true,true,true,pass,All four paraphrases retained noticing hunger before it became very strong; all experts suggested pass; overlap fell from 8/24 to 1/16.,The threshold for very strong hunger remains respondent-dependent.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B001,HS03-V21,HS03,hunger_satiety_awareness,10,6,0,4,4,0,0,0,0,0,8,true,true,true,true,true,true,true,pass,All four paraphrases retained delayed hunger recognition after marked weakness and all persona scale and recall judgments were usable.,One expert purity rating was below 3 and marked weakness may have causes other than hunger.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B038,HS04-V21,HS04,hunger_satiety_awareness,16,0,0,4,4,0,0,0,0,3,1,true,true,true,true,true,true,true,pass,All four paraphrases retained noticing comfortable fullness while eating; all experts suggested pass; overlap fell from 4/24 to 1/16.,Comfortable fullness remains subjective and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B041,HS06-V21-A,HS06,hunger_satiety_awareness,8,7,1,4,4,0,0,0,0,0,16,false,true,true,true,true,true,true,revise,Three expert purity ratings and one retention rating were below 3 while all 16 expert runs flagged moderate or high overlap.,Noticing hunger remains combined with difficulty deciding whether to begin eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B016,HS06-V21-B,HS06,hunger_satiety_awareness,9,7,0,4,4,0,0,0,0,0,16,false,true,true,true,true,true,true,revise,Three expert purity ratings were below 3 and all 16 expert runs flagged moderate or high overlap.,Noticing fullness remains combined with difficulty deciding whether to stop eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B021,SE01-V21,SE01,eating_self_efficacy,14,2,0,4,4,0,1,0,0,4,4,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence under stress and 3/4 personas found the confidence options fitting.,One persona reported a scale mismatch and all four saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B026,SE02-V21,SE02,eating_self_efficacy,10,6,0,4,4,0,0,0,0,3,6,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence in choosing food under time pressure and all persona scale and recall judgments were usable.,The meaning of an appropriate choice remains broad and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B022,SE03-V21,SE03,eating_self_efficacy,10,6,0,4,4,0,0,0,0,4,5,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence in making one's own food choice around others and all persona scale and recall judgments were usable.,All four personas saw an obvious desirable answer and own choice remains broad.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B039,SE04-V21,SE04,eating_self_efficacy,16,0,0,4,3,1,0,0,0,3,5,true,true,true,true,true,true,true,pass,Three paraphrases retained neutral confidence in choosing whether to eat; one narrowed the choice to not eating; all experts suggested pass.,One isolated paraphrase shifted toward restraint and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B037,SE05-V21,SE05,eating_self_efficacy,14,2,0,4,4,0,1,0,0,4,4,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence in recovery after a plan deviation and 3/4 personas found the confidence options fitting.,The plan and return point remain broad and all four personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B006,SE06-V21-A,SE06,eating_self_efficacy,9,7,0,4,4,0,0,0,0,3,4,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence in completing one simple chosen eating step when tired and all persona scale and recall judgments were usable.,The simple step is not standardized and 3/4 personas saw an obvious desirable answer.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-ADJ-S,B032,SE06-V21-B,SE06,eating_self_efficacy,7,9,0,4,4,0,1,1,0,2,9,true,true,true,true,true,true,true,pass,All four paraphrases retained confidence in partial plan implementation and 3/4 personas found both scale and recall usable.,One expert purity rating was below 3 and partial implementation lacks a common threshold.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
