review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,1,B023,4,4,4,4,4,4,4,low,none,low,pass,Танил орчин ба бодолгүй идэж эхлэх үйлдэл нэг утгаар тодорхой бичигдсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,2,B006,3,3,4,4,4,2,4,low,none,low,revise,хийхээр сонгосон хооллолтын нэг энгийн алхам гэсэн холбоо монгол хэлэнд эвгүй сонсогдоно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,3,B019,4,4,4,4,4,4,4,low,none,low,pass,Завгүй өдрийн энгийн хувилбарыг урьдчилан бэлдсэн эсэхийг хугацаатай нь шууд асуужээ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,4,B026,4,4,4,4,4,4,4,low,none,low,pass,Зав багатай нөхцөл дэх сонголтын итгэлийг товч бөгөөд ойлгомжтой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,5,B029,4,4,4,4,4,4,4,low,low,moderate,pass,Биеийн төрхийн санаа зовнил ба нийгмийн үйл ажиллагаанаас зайлсхийх холбоо тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,6,B015,4,4,4,4,4,4,4,low,none,low,pass,Асуултуудын хэт төстэй байдлын талаарх сэтгэгдлийг энгийн хэллэгээр хэмжинэ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,7,B031,4,4,4,4,4,4,4,low,none,low,pass,Хүчтэй өлсөхөөс өмнөх дохиог анзаарсан эсэхийг нэг утгаар асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,8,B021,4,4,4,4,4,4,4,low,low,moderate,pass,Стресстэй өдрийн нөхцөл ба төлөвлөгөө дагах итгэл тодорхой холбогдсон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,9,B016,3,4,2,4,4,4,4,moderate,low,moderate,revise,Цадалтыг анзаарах ба идэхээ зогсоох шийдвэрийн хүндрэл хоёр өөр чадварыг хамтатгасан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,10,B001,4,4,4,4,4,4,3,low,low,low,pass,маш их сульдах гэсэн хүчтэй биеийн төлөв оройтож анзаарсан өлсөлтийг тодорхой илэрхийлнэ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,11,B018,4,4,4,4,4,4,4,low,low,moderate,pass,Анх бодсон хэмжээнээс илүү идсэн үйл явдлыг товч бөгөөд төвийг сахисан хэлбэрээр асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
