review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,1,B035,4,4,4,4,4,4,4,low,none,low,pass,"Names use of a preselected simple meal option during a busy period.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,2,B030,4,4,4,4,4,4,4,low,none,moderate,pass,"Describes resuming a plan after one skipped occasion.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,3,B042,4,4,4,4,4,4,4,moderate,low,low,pass,"Links a repeated daily action to eating without deliberation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,4,B021,4,4,4,4,4,4,4,low,low,moderate,pass,"Uses a stress-day scenario and asks confidence in following the meal plan.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,5,B039,4,4,4,4,4,4,4,low,none,moderate,pass,"Uses food being nearby as the scenario and asks confidence in choosing whether to eat.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,6,B007,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Names an unpleasant feeling and an alternative self-soothing action rather than eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,7,B020,4,4,4,4,4,4,4,low,none,low,pass,"States that extensive preparation led to postponing a planned action.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,8,B032,4,3,4,4,4,4,4,low,none,moderate,pass,"Asks confidence in partially carrying out a meal plan when tired.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,9,B025,4,4,4,4,4,4,4,moderate,low,low,pass,"Describes selecting a snack without considering desire to eat.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,10,B028,4,4,3,4,4,4,4,moderate,moderate,low,pass,"Describes difficulty deciding to stop or continue while eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,11,B001,4,4,4,4,4,4,4,moderate,none,low,pass,"States noticing hunger only after marked tiredness.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,12,B036,4,4,4,4,4,4,4,moderate,none,low,pass,"Connects seeing a food advertisement with continuing food-related thoughts.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,13,B010,4,4,3,4,4,4,4,moderate,moderate,moderate,pass,"States participation in a wanted activity despite discomfort about one's body.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,14,B011,4,4,4,4,4,4,4,moderate,moderate,low,pass,"Describes viewing a small departure from a food rule as total failure.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,1,B016,4,4,3,4,4,4,4,moderate,low,low,pass,"States awareness of fullness alongside difficulty deciding whether to stop eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_2,2,B029,4,4,4,4,4,4,4,moderate,high,moderate,revise,"Names avoiding group activities because of concern about body appearance.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
