persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P24,1,EC04,"Хоолны апп эсвэл зар харсны дараа хоол санаанаас гараагүй.","Утсаар хоолны зар үзээд оройн турш тэр хоол санаанд орсон.",true,"Олон удаа",true,"бодогдсоор байсан",false,false,false,false,5,"Апп болон зарын дараах үеийг санахад хялбар байсан.",true
P24,2,RR03,"Төлөвлөснөөсөө зөрвөл тэр өдрөө бүхэлд нь бүтэлгүй гэж бодсон.","Өдрийн хоолонд төлөвлөөгүй зүйл идээд өдрөө нурсан гэж үзсэн.",true,"Ховор",true,"яг дагаагүй",false,true,true,false,4,"Төлөвлөгөө зөрчсөн өдрүүдээ цөөн гэж санав.",true
P24,3,UC05,"Жаахан идэхээр эхэлсэн ч зогсолгүй нэмж идсэн.","Зурагт үзэхдээ хэдхэн жигнэмэг авах гэсэн ч дахин авсан.",true,"Заримдаа",true,"багахан",false,true,true,false,4,"Хэмжээ нь тодорхой бус ч тохиолдлыг санаж сонголт хийв.",true
P24,4,AC02,"Асуулт болгонд адилхан хариулах ёстой юм шиг санагдсан.","Сүүлийн хоёр долоо хоногт ийм асуулгын багц бөглөөгүй.",true,not_applicable,false,"асуулт бүрт",false,false,false,true,5,"Тухайн хугацаанд ямар асуултуудыг хэлж байгаагүй тул тохирохгүй гэж сонгов.",true
P24,5,HS04,"Идэж байхдаа яг тухтай цадсанаа мэдэрсэн.","Оройн хоолны үеэр цадсанаа анзаараад тавагт багахан хоол үлдээсэн.",true,"Заримдаа",true,"тав тухтай цадсан",false,false,true,false,4,"Цадсанаа анзаарсан тодорхой хооллолтуудаа санав.",true
P24,6,EE01,"Стресстэй үед өлсөөгүй ч хоол идсэн.","Нэг ажил бүтэлгүйтсэний дараа өлсөөгүй атлаа амттан идсэн.",true,"Ховор",true,"стресстсэн",false,false,true,false,4,"Стресстэй холбоотой цөөн нэг тохиолдол санаанд орсон.",true
P24,7,UC01,"Идэж эхэлсний дараа хүссэн цагтаа зогсоход хэцүү байсан.","Зууш идэж эхлээд больё гэж бодсон ч дахиад хэдийг идсэн.",true,"Ховор",true,"хүссэн үедээ",false,true,true,false,4,"Зогсоход хэцүү байсан цөөн тохиолдлоор хариулав.",true
P24,8,HA01,"Тодорхой цаг эсвэл газар болоход бодолгүй идэх юм авсан.","Орой компьютерийн өмнө суухдаа автоматаар зууш авсан.",true,"Олон удаа",true,"бодолгүйгээр",false,false,true,false,5,"Давтагддаг орчин дахь зуушны үйлдэл тодорхой санагдав.",true
P24,9,HA06,"Давтагддаг нөхцөлд идэхээс өмнө юу сонгохоо зориуд шийдсэн.","Орой компьютерийн өмнө суухдаа зууш авах эсэхээ түр бодож шийдсэн.",true,"Заримдаа",true,"давтагддаг нөхцөл",false,false,true,false,4,"Ижил орчинд заримдаа урьдчилан бодож сонгосноо санав.",true
P24,10,EE05,"Уурласан эсвэл бухимдсаны дараа хоол идэхээр болсон.","Жижиг маргааны дараа гал тогооноос амттан авсан.",true,"Ховор",true,"хоол руу хандсан",false,false,true,false,4,"Уур ба бухимдлын дараах цөөн тохиолдлыг нэгтгэн хариулав.",true
P24,11,SE03,"Бусадтай хооллохдоо өөрийн сонголтоо тайван хийж чадна гэдэгтээ хэр итгэлтэй байв.","Танилуудтайгаа хооллоход өөрт тохирох хоолыг дарамтгүй сонгосон.",true,"Их итгэлтэй",true,"тайван хийж",false,false,true,false,4,"Хамт хооллосон жишээгээр итгэлээ үнэлэв.",true
P24,12,BI04,"Биеийн төрхдөө санаа зовж хүмүүсийн үйл ажиллагаанд оролцоогүй.","Алхалтын уулзалтаас биеийн төрхийн шалтгаанаар татгалзаагүй.",true,"Огт байгаагүй",true,"үйл ажиллагаа",false,true,true,false,5,"Биеийн төрхөөс болж татгалзсан тохиолдол санаанд ороогүй.",true
P24,13,IM05,"Нэг удаа өнжсөн ч дараагийн удаа дахин үргэлжлүүлсэн.","Нэг өдрийн алхалтаа өнжөөд маргааш нь дахин алхсан.",true,"Заримдаа",true,"нэг удаа алгассан",false,false,true,false,4,"Алгассаныхаа дараа үргэлжлүүлсэн хэдэн жишээг санав.",true
P24,14,HS06,"Биеийн дохиогоо мэдсэн ч идэж эхлэх эсвэл зогсох шийдвэрт ашиглаж чадаагүй.","Цадсанаа мэдэрсэн ч тавагт үлдсэн хоолоо дуусгасан.",true,"Ховор",true,"биеийн дохио",true,true,true,false,4,"Эхлэх ба зогсохыг хамтад нь асуусан ч цөөн тохиолдлоор хариулав.",true
