persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P09,1,AC02,Асуулт болгонд адилхан хариулах ёстой юм шиг санагдсан.,14 хоногийн асуултуудыг бөглөхдөө хэд хэдэн асуултад ижил хариулт сонгох хэрэгтэй мэт санагдсан.,true,Ховор,true,нэг ижил хариулт,false,false,false,false,3,Энэ мэдрэмж ховор тохиолдсон гэж сонгов.,true
P09,2,EE03,Уйдахдаа өөр юм хийхийн оронд идэж эхэлсэн.,Ажил хоорондын завсарлагаар хийх зүйлгүй үед зууш идсэн.,true,Олон удаа,true,,false,false,false,false,4,Уйдах үед идэх тохиолдол олон байсан гэж сонгов.,true
P09,3,HA03,Идэж эхэлснээ дараа нь анзаарсан.,Завгүй үед ширээн дээрх хоолноос идэж байгаад сүүлд нь анзаарсан.,true,Заримдаа,true,хэдийн эхэлсний дараа,false,false,false,false,3,Идэж эхэлснээ дараа нь анзаарсан үе байсан гэж сонгов.,true
P09,4,EC01,Өлсөөгүй ч хоол хараад идмээр санагдсан.,Ажлын газар ил байгаа амттанг хараад идмээр санагдсан.,true,Олон удаа,true,,false,false,false,false,4,Өлсөөгүй үедээ хоол хараад идэх хүсэл олон төрсөн гэж сонгов.,true
P09,5,RR05,Төлөвлөгөөнөөсөө гарсны дараа маргааш нь дүрмээ илүү чангалсан.,Төлөвлөөгүй хоол идсэнийхээ дараа маргааш нь илүү хатуу хоолны дүрэм барихаар шийдсэн.,true,Олон удаа,true,дүрмээ улам чангалсан,false,false,false,false,4,Төлөвлөгөө алдагдсаны дараа дүрэм чангалах явдал олон байсан гэж сонгов.,true
P09,6,BI05,Хүмүүс биеийг минь харах вий гэж бодоод хөдөлгөөн хийхээс зайлсхийсэн.,Олон хүнтэй газар дасгал хийхээс биеэ анзаарах вий гэж санаа зовоод татгалзсан.,true,Заримдаа,true,хөдөлгөөн хийх,false,false,false,false,3,Хүмүүсийн анхаарлаас болж хөдөлгөөнөөс зайлсхийсэн үе байсан гэж сонгов.,true
P09,7,BI01,Биеийн төрхдөө санаа зовоод зураг авахуулахаас зайлсхийсэн.,Гэр бүлийн зураг авахуулах үед оролцохгүй байхыг хүссэн.,true,Заримдаа,true,,false,false,false,false,4,Зураг авахуулахаас зайлсхийсэн үе байсан гэж сонгов.,true
P09,8,IM03,Завгүй өдөр хийх хамгийн бага хувилбар урьдчилж бэлэн байсан.,Ээлж солигдох завгүй өдөр хоол эсвэл хөдөлгөөний жижиг төлөвлөгөө бэлэн байгаагүй.,true,Ховор,true,хамгийн жижиг хувилбар,false,false,true,false,3,Завгүй өдрийн жижиг хувилбар бэлэн байсан нь ховор гэж сонгов.,true
P09,9,UC02,Анх бодсоноосоо илүү их идсэн.,Өлсөөгүй ч эхэлсэн зуушаа бодсоноосоо их хэмжээгээр идсэн.,true,Олон удаа,true,,false,false,false,false,4,Төлөвлөснөөс илүү идсэн тохиолдол олон байсан гэж сонгов.,true
P09,10,SE04,Идэх юм ойр байсан ч идэх эсэхээ бодоод сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Ажлын газрын ойролцоох зуушнаас идэх эсэхээ шийдэх үедээ эргэлзсэн.,true,Бага зэрэг итгэлтэй,true,бодож сонгож,false,false,true,false,3,Ойр байгаа хоолны үед сонголтоо хянах итгэл бага зэрэг байсан гэж сонгов.,true
P09,11,SE06,Ядарсан үедээ ч өөрт боломжтой хамгийн жижиг хувилбарыг сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Урт ажлын өдрийн дараа хялбархан хоол эсвэл богино хөдөлгөөнийг сонгохдоо итгэлгүй байсан.,true,Бага зэрэг итгэлтэй,true,хамгийн жижиг хувилбар,false,false,true,false,3,Ядарсан үед жижиг боломжит хувилбар сонгох итгэл бага зэрэг байсан гэж сонгов.,true
P09,12,UC01,Идэж эхэлсний дараа хүссэн үедээ зогсооход хэцүү байсан.,Оройн хоолны дараа амттан идэж эхлээд зогсоохдоо хүндрэлтэй байсан.,true,Олон удаа,true,,false,false,false,false,4,Идэж эхэлсний дараа зогсоох хэцүү байсан нь олон тохиолдсон гэж сонгов.,true
P09,13,HS04,Идэж байхдаа таатай цадсан үеэ анзаарсан.,Хоол идэж байхдаа хангалттай болсноо анзааралгүй үргэлжлүүлсэн.,true,Ховор,true,тав тухтай цадсан,false,false,true,false,3,Таатай цадснаа идэж байхдаа анзаарсан нь ховор гэж сонгов.,true
P09,14,HS01,Өлсөлт хэт хүчтэй болохоос өмнө биеийн дохиогоо анзаарсан.,Завгүй үед өлсгөлөн хүчтэй болсны дараа л хоол хэрэгтэйгээ анзаарсан.,true,Ховор,true,биеийн дохио,false,false,true,false,3,Өлсөлт хүчтэй болохоос өмнө дохиондоо анхаарсан нь ховор гэж сонгов.,true
