persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P14,1,SE02,"Завгүй үед өөрт боломжтой хоол сонгож чадна гэж хэр итгэснийг асууж байна.","Ажил сунжраад гэртээ оройтож ирэхэд бэлэн байгаа хямд хоолноос сонгоно.",true,"Бага зэрэг итгэлтэй",true,"өөрт тохирох боломжит хоол",false,false,true,false,4,"Зав багатай, өртөг өндөр үед сонголт хязгаарлагддаг тул бага зэрэг итгэлтэйг сонгов.",true
P14,2,HA03,"Идэж байгаагаа хэсэг хугацааны дараа л мэдсэн эсэхийг асууж байна.","Цай ууж суухдаа тавагтай боорцгоос идсэнээ дараа нь анзаарна.",true,"Ховор",true,"хэдийн эхэлсний дараа",false,false,false,false,4,"Сүүлийн 14 хоногт ийм явдал ховор тохиолдсон гэж хариулав.",true
P14,3,EC06,"Хоолны үнэр эсвэл дүр зурагт татагдсан ч бодлоо өөр тийш шилжүүлсэн эсэхийг асууж байна.","Гуанзны хоол үнэртэхэд ажлаа үргэлжлүүлэн хийв.",true,"Заримдаа",true,"анхаарлаа өөр зүйлд буцаах",true,false,true,true,3,"Харах ба үнэртэх хоёр нөхцөл нийлсэн, мөн өртөөгүй үеийн сонголт байхгүй ч заримдаа гэж сонгов.",true
P14,4,HA04,"Танил газар очиход өөрийн мэдэлгүй идэж эхэлдэг мэт байсан эсэхийг асууж байна.","Айлд ороход ширээн дээрх ааруулыг бодолгүй авч иднэ.",true,"Ховор",true,"үйлдэл өөрөө эхэлдэг мэт",false,false,false,true,3,"Танил орчинд идэх боломж гараагүй тохиолдлыг ялгах сонголтгүй боловч ховор гэж сонгов.",true
P14,5,EE03,"Уйдахдаа өөр ажил олохын оронд юм идсэн эсэхийг асууж байна.","Орой хийх ажилгүй суухдаа боорцог идэв.",true,"Огт байгаагүй",true,"хийх зүйл хайхын оронд",false,true,true,false,4,"Өөрийгөө уйдсанаас болж идсэн тод жишээ санаанд ороогүй тул огт байгаагүйг сонгов.",true
P14,6,EC02,"Хоолны үнэрээс болж идэхээр шийдсэн эсэхийг асууж байна.","Дэлгүүрийн дэргэд хоол үнэртээд авч идэхээр болов.",true,"Ховор",true,"нөлөөлсөн",false,false,false,true,3,"Үнэртэй таараагүй өдрүүдийг ялгах боломжгүй ч нэг ховор тохиолдол санаанд орсон.",true
P14,7,RR03,"Төлөвлөснөөсөө зөрвөл бүтэн өдрөө бүтэлгүй гэж бодсон эсэхийг асууж байна.","Өдрийн хоолны төлөвлөгөө зөрөхөд тэр өдрийн оролдлого талаар болсон мэт санагдав.",true,"Ховор",true,"яг дагаагүй",false,true,true,true,4,"Тодорхой төлөвлөгөөгүй өдрүүдэд тохирох сонголт алга; төлөвлөгөөтэй үед ховор гэж сонгов.",true
P14,8,IM03,"Завгүй үед хийж болох хамгийн бага хувилбараа урьдчилан мэддэг байсан эсэхийг асууж байна.","Ажил ихтэй өдөр гэрийн ойролцоо богино алхахаар төлөвлөв.",true,"Заримдаа",false,"хамгийн жижиг хувилбар",false,false,true,false,3,"Юуны жижиг хувилбар гэдэг тодорхойгүй тул өөрийн ойлгосон богино үйлдлээр заримдаа гэж сонгов.",true
P14,9,SE06,"Ядарсан үед ч хийж чадах хамгийн бага зүйлээ сонгоно гэж хэр итгэснийг асууж байна.","Хүнд ажлын дараа гэмтсэн үеэ бодож урт дасгалын оронд хөнгөн сунгалт сонгоно.",true,"Дунд зэрэг итгэлтэй",false,"хамгийн жижиг хувилбар",false,false,true,true,3,"Үйлдэл тодорхойгүй, гэмтлээс шалтгаалан зарим өдөр хийх боломжгүй ч дунд зэрэг итгэлтэйг сонгов.",true
P14,10,BI02,"Биеэ харахад эвгүй байсан учраас толь харахаас зайлсхийсэн эсэхийг асууж байна.","Өглөө хувцаслахдаа толинд удаан харалгүй өнгөрөв.",true,"Огт байгаагүй",true,"биеэ харах эвгүй",false,true,true,false,5,"Биеийн төрхөд санаа зовдоггүй тул огт байгаагүйг итгэлтэй сонгов.",true
P14,11,IM06,"Нэг өдөр хийсэн зүйлээ дараагийн өдрүүдэд дахин хийх хэцүү байсан эсэхийг асууж байна.","Нэг өдөр алхсан ч маргааш ажил ихтэй, хуучин гэмтэл өвдөж давтаж чадсангүй.",true,"Олон удаа",false,"хийж чадсан зүйл",false,false,true,true,4,"Ямар үйлдэл гэдэг тодорхойгүй ч хувьсах ажил, гэмтлийн үед давтах хэцүү олон удаа байсан.",true
P14,12,BI05,"Хүмүүс биеийг харах вий гэж санаа зовоод хөдөлгөөнөөс зайлсхийсэн эсэхийг асууж байна.","Хуучин гэмтэл өвдсөн тул дасгал хийгээгүй, хүмүүс харахаас санаа зовсондоо биш.",true,not_applicable,false,"хөдөлгөөн хийх",true,true,true,true,5,"Хөдөлгөөн хийгээгүй шалтгаан нь гэмтэл байж болох тул өгсөн давтамжаар зөв ялгаж чадахгүй.",true
P14,13,UC02,"Эхэндээ бодсоноосоо их хоол идсэн эсэхийг асууж байна.","Оройн хоолонд нэг аяга иднэ гэж бодоод дахин нэмж идэв.",true,"Заримдаа",true,"анх бодсоноосоо",false,false,false,true,4,"Урьдчилж хэмжээ бодоогүй хооллолтыг ялгах сонголтгүй ч заримдаа илүү идсэнээ санав.",true
P14,14,HS02,"Идэх хүсэл гарахад үнэхээр өлссөн эсэхээ таньж чадсан эсэхийг асууж байна.","Орой юм идмээр болоход өдрийн хоолноос хойш удсаныг бодож өлссөнөө мэдэв.",true,"Олон удаа",true,"идэх хүсэл",false,false,true,true,4,"Идэх хүсэл төрөөгүй үеийг ялгах сонголтгүй ч төрсөн үедээ олон удаа ялгаж чадсан.",true
