persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P23,1,BI02,Биеэ харахаар эвгүй санагдаад толь руу хараагүй.,Гэртээ хувцсаа өмсөхдөө толины өмнөөс холдсон.,true,Олон удаа,true,эвгүй,false,false,false,false,4,Толь харахаас зайлсхийсэн тохиолдлоор сонгов.,true
P23,2,RR06,Төлөвлөгөөнөөс өөр идсний дараа дараагийн хоолондоо хэвийн хооллосон.,Айлд очоод амттан идсэний дараа оройн хоолоо ердийнхөөрөө идсэн.,true,Заримдаа,true,хэвийн хэмнэл,false,false,true,false,3,Төлөвлөгөөнөөс хазайсны дараах дараагийн хоолоор шийдэв.,true
P23,3,UC05,Бага иднэ гэж бодсон ч үргэлжлүүлж идсэн.,Цайны үеэр нэг боов иднэ гэж бодоод дахин идсэн.,true,Олон удаа,true,,false,false,false,false,4,Бага хэмжээгээр эхэлсэн ч нэмээд идсэн удаагаар сонгов.,true
P23,4,IM05,Нэг удаа хийхээ алгассан ч дараагийн боломжид дахин хийсэн.,Асаргааны ажилтай өдөр төлөвлөсөн хоолоо алгасаад дараагийн өдөр үргэлжлүүлсэн.,true,Олон удаа,true,боломж,false,false,true,false,4,Алгассан дараах дахин эхэлсэн удаагаар сонгов.,true
P23,5,SE02,Завгүй үед өөртөө тохирох хоол сонгож чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Ачдаа харж байхдаа ойрхон газраас тохирох хоол сонгоно гэж бодсон.,true,Дунд зэрэг итгэлтэй,true,өөрт тохирох,false,false,true,false,3,Завгүй үеийн хоол сонголтын итгэлээр сонгов.,true
P23,6,RR02,Зарим хоолыг огт идэхгүй гэсэн дүрэм өөртөө тавьсан.,Чихэрлэг зүйлийг бүрэн идэхгүй гэж шийдсэн.,true,Заримдаа,true,бүрэн хориглох,false,false,false,false,4,Өөртөө тавьсан хоригийн давтамжаар сонгов.,true
P23,7,HS02,Идэх хүсэл төрөхөд үнэхээр өлсөж байна уу гэдгээ ялгасан.,Орой амттан хүсэхэд өлссөн эсэхээ бодсон.,true,Заримдаа,true,,false,false,true,false,3,Идэх хүсэл ба өлсгөлөнг ялгасан үеэр сонгов.,true
P23,8,EC02,Хоолны үнэр идэхээр шийдэхэд нөлөөлсөн.,Дэлгүүрийн нарийн боовны үнэрээс болоод зууш авсан.,true,Олон удаа,true,,false,false,false,false,4,Үнэрийн дараа идэхээр шийдсэн удаагаар сонгов.,true
P23,9,EE06,Таагүй мэдрэмжтэй байсан ч хоол идэхгүй өнгөрөөсөн.,Санаа зовсон үедээ цайтай амттан идэлгүй өнгөрөөсөн.,true,Ховор,true,таагүй мэдрэмж,false,false,true,false,3,Таагүй мэдрэмжийн үед идээгүй тохиолдлоор сонгов.,true
P23,10,BI04,Биеийн төрхдөө санаа зовоод хүмүүстэй хийх зүйлээс татгалзсан.,Танилын уулзалтад очихоос биеийнхээ төрхөөс болж татгалзсан.,true,Заримдаа,true,үйл ажиллагаа,false,false,false,false,4,Төрхөөсөө санаа зовж оролцоогүй тохиолдлоор сонгов.,true
P23,11,HA01,Тодорхой цаг эсвэл газарт очоод бодолгүй идэх зүйл авсан.,Орой зурагт үзэхдээ ширээн дээрх чихэр рүү гараа сунгасан.,true,Олон удаа,true,бодолгүйгээр,false,false,false,false,4,Тогтсон үеэр бодолгүй зууш авсан удаагаар сонгов.,true
P23,12,UC04,Идэж байхдаа өөрийгөө зогсоож чадахгүй юм шиг санагдсан.,Амттан идэж эхлээд зогсооход хэцүү санагдсан.,true,Заримдаа,true,өөрөө удирдаж чадахгүй мэт,false,true,false,false,3,Идэж байхдаа зогсоох хэцүү санагдсан үеэр сонгов.,true
P23,13,AC01,Энэ асуултад «Заримдаа»-г сонго гэж байна.,Асуултыг уншаад заасан хариултыг тэмдэглэсэн.,false,Заримдаа,false,хариултын чанар,false,false,false,false,5,Заасан сонголтыг дагаж сонгов.,true
P23,14,HA05,Зууш авахдаа үнэхээр хүсэж байгаа эсэхээ бодолгүй сонгосон.,Цай хийхдээ өлсөөгүй ч жигнэмэг авсан.,true,Олон удаа,true,үнэхээр хүсэж байгаа,false,false,false,false,4,Зууш сонгохын өмнө хүсэлээ бодоогүй удаагаар сонгов.,true
