persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P15,1,HA04,Танил газар очиход өөрийн эрхгүй идэж эхэлсэн мэт санагдсан.,Ажлын завсарлагаар өмнөх шигээ лангуун дээрх амттанаас авсан.,true,Олон удаа,true,өөрөө эхэлдэг мэт,false,false,false,false,4,Танил ажлын орчны жишээгээр 14 хоногийг санаж хариулав.,true
P15,2,RR04,Төлөвлөөгүй юм идсэний дараа тэр өдрөө хоолоо анхаарахаа больсон.,Орой бялуу идсэний дараа үлдсэн хоолондоо төлөвлөгөө гаргаагүй.,true,Заримдаа,true,хяналтгүй орхисон,false,true,false,false,3,Үлдсэн өдрөө гэдэг нь тодорхой боловч хяналтгүй үг хатуу сонсогдов.,true
P15,3,SE03,Бусадтай хооллохдоо өөрийнхөө хоолны сонголтыг тайван хийж чадна гэдэгтээ хэр итгэлтэйгээ хэлнэ.,Хамт ажиллагсадтай цайны газарт хоол сонгохдоо өөрийн сонголтоо хийсэн.,true,Бага зэрэг итгэлтэй,true,тайван,false,false,true,false,4,Хамт хооллох үеийг санаж итгэлийн сонголтоос хариулав.,true
P15,4,HS05,Цадсан эсэхээ ойлгоход эргэлзсэн.,Оройн хоолны дараа цадсан уу үгүй юу гэдгээ мэдэхгүй байсан.,true,Заримдаа,true,,false,false,false,false,5,Цадах мэдрэмжийн эргэлзлийг сүүлийн 14 хоногоос санав.,true
P15,5,BI03,Биеийн төрхөөсөө санаа зовоод хүссэн хувцсаа сонгоогүй.,Ажилдаа өмсөхийг хүссэн бариу цамцаа аваагүй.,true,Олон удаа,true,биеийн төрхөөсөө,false,true,true,false,5,Хувцас сонгох бодит үе давтагдсан тул хариулахад хялбар байв.,true
P15,6,HS06,Биеэс мэдрэгдэж байсан ч хэзээ идэж эхлэх эсвэл зогсохоо түүнд тулгуурлан шийдээгүй.,Өлссөнөө мэдэрсэн ч завгүйгээс хоолоо хойшлуулсан.,true,Заримдаа,false,биеийн дохио,true,false,false,false,2,Эхлэх ба зогсох хоёр өөр нөхцөл тул нэг хариулт сонгоход эргэлзэв.,true
P15,7,IM06,Нэг өдөр хийсэн зүйлээ дараагийн өдрүүдэд дахин хийхэд хэцүү байсан.,Нэг өдөр хоолоо бэлдсэн ч дараагийн өдрүүдэд дахин бэлдээгүй.,true,Олон удаа,true,хийж чадсан зүйл,false,false,false,false,4,Өдөр бүр давтахад хэцүү байсан жишээгээр хариулав.,true
P15,8,EC05,Хоолны тухай бодол хийж байсан ажилд саад болсон.,Бараа өрж байхдаа хоол бодогдоод ажилдаа анхаарахад хэцүү болсон.,true,Олон удаа,true,,false,false,false,false,5,Ажлын үеийн анхаарал сарнисан тохиолдлоор давтамж сонгов.,true
P15,9,EE02,Гунигтай үед хоол идэхэд түр зуур тайвширдаг гэж мэдэрсэн.,Сэтгэл тавгүй орой амттан идсэний дараа хэсэг тайвширсан.,true,Олон удаа,true,сэтгэл гунигтай,false,false,false,false,4,Гунигтай үеийн идсэний дараах мэдрэмжээр хариулав.,true
P15,10,EC04,Хоолны апп эсвэл сурталчилгаа үзсэний дараа хоол байнга бодогдсон.,Утсаар хоолны сурталчилгаа үзсэний дараа орой хүртэл хоол санаанаас гараагүй.,true,Заримдаа,false,хоолны апп,true,false,false,true,3,Апп хэрэглэдэггүй үед сурталчилгаа нь тохирсон ч апп хэсэг нь хамаарахгүй байв.,true
P15,11,RR03,Төлөвлөгөөгөө яг дагаагүй бол тэр өдрийг бүтэлгүйтсэн гэж бодсон.,Төлөвлөөгүй зууш идсэний дараа өдрөө бүтэлгүй боллоо гэж бодсон.,true,Олон удаа,true,бүтэлгүй,true,true,true,false,5,Төлөвлөгөөнөөс зөрсний дараах өөрийгөө буруутгасан бодлоор хариулав.,true
P15,12,HA02,Нэг зүйл хийсний дараа юм идэх нь автоматаар давтагддаг болсон.,Касс хаасны дараа шууд амттан авах нь зуршил болсон.,true,Олон удаа,true,нэг үйлдэл,false,false,false,false,4,Давтагддаг ажлын дараах дарааллыг санаж хариулав.,true
P15,13,EE05,Уурлаж эсвэл бухимдсаны дараа хоол идэх болсон.,Үйлчлүүлэгчтэй маргалдсаны дараа чихэр идсэн.,true,Олон удаа,true,хоол руу хандсан,false,false,false,false,5,Бухимдсаны дараа идсэн тодорхой тохиолдлуудаар хариулав.,true
P15,14,UC06,Идэж байхдаа түр зогсоод цааш идэх эсэхээ бодож чадсан.,Оройн хоолны дундуур зогсоод цадсан эсэхээ бодсон.,true,Заримдаа,true,,false,false,true,false,4,Сайн хариулт мэт санагдаж болох ч бодитоор заримдаа л хийдэг.,true
